%  columns="iteration, evaluation, void, void, void, xmean" (startseed=206354, 2016/04/14 11:6:12.55)
10 131 0 0 0 4.252476e-01 2.248328e-02 -2.513663e-01 8.722287e-02 3.793832e-01 -7.235542e-01 -2.977709e-01 -7.095441e-01 6.813857e-01 -2.085754e-01 -1.647353e-02 -8.849640e-03 1.912412e-01 6.628583e-01 2.957885e-01 1.966977e-02 -2.311393e-02 2.172019e-01 2.692535e-01 1.600314e-01 2.038317e-02 -6.306255e-03 2.847800e-01 -6.755932e-02 -3.227575e-01 -5.932142e-03 2.060286e-02 2.667830e-01 
11 144 0 0 0 3.839805e-01 4.090618e-02 -2.521934e-01 1.276452e-01 3.184971e-01 -6.253211e-01 -2.985458e-01 -7.122389e-01 3.885748e-01 -3.846600e-01 -1.626971e-02 -7.040492e-03 2.612927e-01 5.546847e-01 2.451281e-01 1.813863e-02 -2.405952e-02 2.076379e-01 1.594738e-01 -2.086959e-02 2.254855e-02 -1.411859e-02 2.466475e-01 -1.240241e-01 -3.604051e-01 -3.332664e-03 2.011082e-02 2.559498e-01 
12 157 0 0 0 4.076407e-01 3.586891e-02 -2.499908e-01 3.394102e-02 3.978752e-01 -5.678856e-01 -2.992587e-01 -7.009859e-01 3.876970e-01 -3.828447e-01 -2.203012e-02 -7.468931e-03 2.309925e-01 6.279092e-01 3.322912e-01 1.604908e-02 -2.184949e-02 2.076045e-01 -1.534656e-01 1.296652e-02 2.706142e-02 -1.579201e-02 2.947414e-01 -1.433009e-01 -1.642808e-01 -3.240643e-03 1.210240e-02 2.195180e-01 
13 170 0 0 0 4.268534e-01 6.391409e-02 -2.467587e-01 1.253763e-02 4.290403e-01 -5.357354e-01 -2.987850e-01 -9.408200e-01 4.811814e-01 -3.723075e-01 -2.587567e-02 -4.922711e-03 2.500937e-01 4.557193e-01 2.915018e-01 1.228069e-02 -2.207147e-02 2.080221e-01 -5.932854e-02 -8.896905e-02 3.099031e-02 -1.851113e-02 3.093298e-01 -1.357255e-01 -1.745614e-01 -4.794312e-03 1.112632e-02 2.701578e-01 
14 183 0 0 0 4.111410e-01 8.074010e-02 -2.479152e-01 -1.564586e-02 4.695773e-01 -7.360174e-01 -2.982274e-01 -7.838320e-01 4.405041e-01 -2.964530e-01 -2.610047e-02 -1.172092e-03 2.627703e-01 4.985990e-01 1.930624e-01 9.803058e-03 -2.447072e-02 2.392979e-01 -6.269671e-03 -8.021019e-02 3.402819e-02 -2.139708e-02 2.967301e-01 -2.419394e-01 -2.228308e-01 -3.858579e-03 1.354896e-02 2.331268e-01 
15 196 0 0 0 4.305800e-01 1.196047e-01 -2.486904e-01 6.343320e-02 3.912386e-01 -8.388452e-01 -2.990084e-01 -7.171620e-01 3.752433e-01 -4.185917e-01 -2.446686e-02 1.199387e-03 2.671594e-01 5.196737e-01 1.072779e-01 1.209575e-02 -2.143658e-02 2.540199e-01 2.723231e-01 -5.245343e-02 3.434100e-02 -1.910923e-02 3.102295e-01 -2.088785e-01 -1.688331e-01 -2.163178e-03 1.862570e-02 2.061777e-01 
16 209 0 0 0 4.015276e-01 7.621742e-02 -2.504473e-01 9.947107e-02 3.637812e-01 -9.543112e-01 -2.960927e-01 -8.504527e-01 3.136491e-01 -3.695897e-01 -2.418859e-02 6.550451e-03 2.748382e-01 4.338332e-01 5.145332e-02 1.855854e-02 -1.506126e-02 2.225826e-01 3.361682e-01 3.650777e-02 2.884595e-02 -1.690815e-02 2.900965e-01 -9.089955e-02 -3.697616e-01 1.744543e-03 2.065743e-02 2.312676e-01 
17 222 0 0 0 3.930227e-01 1.908794e-01 -2.524964e-01 1.026207e-01 3.932859e-01 -1.123949e+00 -2.965280e-01 -8.350622e-01 1.618177e-01 -3.696034e-01 -2.684443e-02 9.221683e-03 2.456936e-01 5.192696e-01 1.507739e-01 1.986236e-02 -1.573205e-02 2.521377e-01 4.485232e-01 -8.741293e-02 3.349451e-02 -1.586114e-02 3.080501e-01 2.252284e-02 -2.658994e-01 8.458800e-03 2.037145e-02 2.197094e-01 
18 235 0 0 0 4.004442e-01 1.772478e-01 -2.518735e-01 1.150445e-01 4.052969e-01 -1.015970e+00 -2.980991e-01 -7.470625e-01 1.489483e-01 -2.993618e-01 -2.660065e-02 1.005573e-02 2.526474e-01 5.250206e-01 9.577823e-02 1.780188e-02 -1.874694e-02 2.856626e-01 3.647256e-01 -1.113503e-01 3.100198e-02 -1.887161e-02 3.186925e-01 -7.574941e-02 -3.312670e-01 1.008064e-02 2.678292e-02 2.047638e-01 
19 248 0 0 0 3.957090e-01 1.363077e-01 -2.475913e-01 1.089519e-02 3.636080e-01 -1.047313e+00 -2.994620e-01 -8.666413e-01 1.515735e-01 -3.144211e-01 -3.142477e-02 1.011981e-02 2.256294e-01 5.877379e-01 6.547072e-02 1.546713e-02 -2.136920e-02 2.520970e-01 3.129972e-01 7.333095e-03 2.328086e-02 -1.609136e-02 2.790028e-01 -5.906585e-02 -3.405642e-01 1.228276e-02 3.036948e-02 2.030796e-01 
