%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=206354, 2016/04/14 11:6:12.55)
11 144  6.456601867702685300e+07 0 0 4.399873e-01 -9.719862e-02 -2.444639e-01 -1.373701e-02 2.724129e-01 -3.097403e-01 -3.080253e-01 -8.492138e-01 4.694447e-01 -5.392584e-01 -1.664743e-02 -9.051135e-03 2.459792e-01 6.156516e-01 2.017524e-01 1.052890e-02 -2.505291e-02 1.369715e-01 -2.589436e-01 -9.673119e-02 2.605523e-02 -2.669036e-02 1.922763e-01 -2.037495e-01 -2.928584e-01 -1.091935e-02 1.645122e-02 2.829232e-01 
12 157  6.454357628276363000e+07 0 0 3.795936e-01 -8.175522e-02 -2.483394e-01 -6.795077e-03 4.548526e-01 -6.710728e-01 -2.921078e-01 -4.407903e-01 2.366538e-02 -4.034429e-01 -2.617631e-02 -4.168665e-03 1.985207e-01 5.048959e-01 3.970009e-01 2.499464e-02 -2.872226e-02 1.041959e-01 -3.077088e-01 1.820068e-01 1.869996e-02 -3.538899e-02 2.750541e-01 2.292393e-01 -1.876354e-01 1.074658e-02 2.112466e-02 2.443127e-01 
13 170  6.451277738849020000e+07 0 0 3.966010e-01 -3.409290e-02 -2.488487e-01 1.242180e-02 4.595640e-01 -4.214992e-01 -2.978218e-01 -9.019657e-01 3.649337e-01 -1.734919e-01 -2.662662e-02 -1.277257e-02 1.766548e-01 7.523317e-01 1.691779e-01 9.918007e-03 -1.664345e-02 2.403905e-01 -2.072221e-01 -8.526196e-02 3.332030e-02 -3.008730e-02 4.076960e-01 1.193139e-01 -2.831638e-01 -2.591375e-03 2.134925e-02 2.965430e-01 
14 183  6.450801618481148000e+07 0 0 4.880453e-01 1.480099e-01 -2.485774e-01 8.791830e-02 3.484922e-01 -4.093008e-01 -3.068335e-01 -1.070888e+00 3.620777e-01 -3.443261e-01 -1.330331e-02 -1.157356e-02 2.840840e-01 4.148435e-01 3.856072e-02 4.956744e-03 -2.088427e-02 2.018561e-01 3.668373e-01 -3.503519e-01 4.161540e-02 -3.599501e-02 2.270981e-01 -8.611871e-02 7.898237e-02 -5.927594e-03 2.022876e-02 3.985121e-01 
15 196  6.446508163233585700e+07 0 0 4.505385e-01 7.660552e-02 -2.551911e-01 1.408793e-01 3.802473e-01 -9.662519e-01 -2.941579e-01 -7.124669e-01 4.123908e-01 -5.135116e-01 -2.663878e-02 -4.946966e-03 2.938025e-01 7.310998e-01 1.853999e-01 1.314627e-02 -2.605677e-02 2.858309e-01 3.956502e-01 -1.077651e-01 3.443804e-02 -2.300729e-02 3.732128e-01 -1.481277e-01 -4.754483e-02 -6.472341e-03 2.545879e-02 1.084620e-01 
16 209  6.448022039774218900e+07 0 0 4.388843e-01 1.290998e-01 -2.473011e-01 8.654195e-02 3.867992e-01 -8.603484e-01 -2.866866e-01 -8.936833e-01 5.916654e-01 -2.596048e-01 -2.752505e-02 -3.731463e-03 2.341282e-01 4.095086e-01 1.948292e-02 1.957214e-02 -1.838016e-02 2.646788e-01 4.388850e-01 3.435511e-02 3.824066e-02 -1.772359e-02 3.849528e-01 -1.734998e-01 -3.714689e-01 -9.189595e-03 2.032332e-02 2.012804e-01 
17 222  6.448136309642323100e+07 0 0 4.507658e-01 1.905733e-01 -2.506481e-01 1.366122e-01 4.300927e-01 -1.043975e+00 -2.991315e-01 -9.017866e-01 -9.240276e-02 -2.943868e-01 -2.922558e-02 5.707178e-03 2.415252e-01 5.804298e-01 2.147341e-01 2.211844e-02 -1.653500e-02 2.760484e-01 6.319882e-01 -1.470606e-01 3.631587e-02 -1.474815e-02 2.837684e-01 1.572457e-01 -2.046384e-01 1.057534e-02 2.201486e-02 1.936702e-01 
18 235  6.450874699566527500e+07 0 0 3.998594e-01 7.872254e-02 -2.517446e-01 -2.249546e-02 4.324772e-01 -1.055315e+00 -3.036626e-01 -7.593502e-01 6.847439e-02 -2.006756e-01 -2.823524e-02 4.886410e-03 2.108629e-01 3.068254e-01 3.591616e-02 1.525346e-02 -2.446889e-02 2.821124e-01 2.009886e-01 1.813767e-02 3.037108e-02 -2.277935e-02 2.995562e-01 -2.311694e-01 -4.138154e-01 1.906566e-02 2.539780e-02 2.314476e-01 
19 248  6.449810803626129800e+07 0 0 3.471817e-01 2.091098e-01 -2.473396e-01 3.828035e-02 2.755601e-01 -8.900118e-01 -2.891631e-01 -6.683859e-01 1.964983e-01 -3.252210e-01 -3.367494e-02 -6.456914e-03 3.008641e-01 8.782534e-01 -3.784261e-03 1.545391e-02 -1.585978e-02 2.491942e-01 5.233526e-01 -2.718103e-01 2.762125e-02 -2.329194e-02 3.184653e-01 1.471018e-01 -2.413526e-01 1.802702e-02 3.847837e-02 2.211125e-01 
20 261  6.449947305946683900e+07 0 0 4.434088e-01 1.530930e-01 -2.582399e-01 4.082999e-02 3.514247e-01 -1.235924e+00 -2.976096e-01 -9.530213e-01 1.305820e-02 -3.154744e-01 -2.543214e-02 2.283079e-02 1.610363e-01 4.813360e-01 1.363360e-01 9.836067e-03 -1.057895e-02 3.742490e-01 1.790629e-01 3.050969e-02 1.985005e-02 -1.264731e-02 2.446530e-01 2.830526e-02 -3.945442e-01 2.103740e-02 2.554411e-02 1.768920e-01 
