%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=206354, 2016/04/14 11:6:12.55)
84 1093 6.470685e-02 3.918423e+01  6.438713885898612400e+07  6.438713885898612400e+07  6.439421875558003800e+07  6.441384946731395300e+07
85 1106 6.335736e-02 3.929808e+01  6.438713885898612400e+07  6.439044712931579400e+07  6.439267858384136900e+07  6.439982596297206700e+07
86 1119 6.107791e-02 3.933518e+01  6.438713885898612400e+07  6.438841828994678700e+07  6.439395845208124800e+07  6.440109694883301100e+07
87 1132 6.005407e-02 3.934127e+01  6.438713885898612400e+07  6.438825016516071600e+07  6.439202566225596500e+07  6.440106141531763200e+07
88 1145 5.819168e-02 3.920023e+01  6.438713885898612400e+07  6.438778849507966600e+07  6.439344652220723800e+07  6.441287863872455800e+07
89 1158 5.677880e-02 3.910087e+01  6.438713885898612400e+07  6.438773272093318400e+07  6.439116497105038900e+07  6.440175811793854800e+07
90 1171 5.479321e-02 3.905227e+01  6.438713885898612400e+07  6.438771321693550100e+07  6.439445728702589900e+07  6.441746952888178100e+07
91 1184 5.380204e-02 3.899596e+01  6.438713885898612400e+07  6.438907236588550400e+07  6.439189629535534200e+07  6.440230429129096900e+07
92 1197 5.302980e-02 3.900851e+01  6.438713885898612400e+07  6.438821765383099000e+07  6.439154264073470200e+07  6.440218818656167400e+07
93 1210 5.190600e-02 3.906132e+01  6.438606239218539000e+07  6.438606239218539000e+07  6.439236488980668000e+07  6.439552617698634400e+07
94 1223 5.119245e-02 3.907248e+01  6.438606239218539000e+07  6.438680844260869200e+07  6.439468977488143000e+07  6.440797163211399300e+07
95 1236 4.997641e-02 3.903999e+01  6.438606239218539000e+07  6.438703191773274500e+07  6.439158607768157900e+07  6.440167495984149000e+07
96 1249 4.933114e-02 3.898580e+01  6.438606239218539000e+07  6.438658454348604400e+07  6.439044946811642500e+07  6.439601114003313300e+07
97 1262 4.881771e-02 3.899132e+01  6.438606239218539000e+07  6.438635661064409500e+07  6.438875824236629200e+07  6.439439165928840600e+07
98 1275 4.868845e-02 3.892406e+01  6.438606239218539000e+07  6.438666675192622100e+07  6.438937261841973700e+07  6.439701652146873600e+07
99 1288 4.787606e-02 3.872351e+01  6.438606239218539000e+07  6.438729857916016100e+07  6.438920550952039700e+07  6.439666816537759500e+07
100 1301 4.733245e-02 3.862533e+01  6.438606239218539000e+07  6.438695945531882300e+07  6.438986946306211500e+07  6.439205789951477200e+07
101 1314 4.645618e-02 3.853225e+01  6.438606239218539000e+07  6.438634665457361900e+07  6.438829689027564200e+07  6.439903961055236300e+07
102 1327 4.532743e-02 3.851866e+01  6.438606239218539000e+07  6.438702378785578900e+07  6.439010488152937600e+07  6.440824832262459400e+07
103 1340 4.424627e-02 3.850649e+01  6.438606239218539000e+07  6.438626079652983000e+07  6.438891297348522400e+07  6.440153811785113800e+07
104 1353 4.301543e-02 3.854112e+01  6.438606239218539000e+07  6.438736313105654700e+07  6.438935311059329700e+07  6.439499674706929900e+07
105 1366 4.187843e-02 3.852559e+01  6.438606239218539000e+07  6.438667204780267200e+07  6.439067617008261400e+07  6.439808878435675800e+07
106 1379 4.157906e-02 3.853783e+01  6.438606239218539000e+07  6.438706869656550900e+07  6.438939066000524900e+07  6.439739553966951400e+07
107 1392 4.030015e-02 3.846683e+01  6.438606239218539000e+07  6.438726762597458800e+07  6.439024782948188500e+07  6.439302722444354700e+07
108 1405 3.925908e-02 3.839612e+01  6.438598974811173200e+07  6.438598974811173200e+07  6.438855154971749300e+07  6.439525323589260100e+07
109 1418 3.910293e-02 3.849172e+01  6.438529418860375900e+07  6.438529418860375900e+07  6.438934412605187300e+07  6.439134749837118400e+07
110 1431 3.897340e-02 3.851334e+01  6.438529418860375900e+07  6.438581000718771700e+07  6.438937216967281700e+07  6.439195777925350500e+07
111 1444 3.799990e-02 3.856763e+01  6.438529418860375900e+07  6.438549633222399700e+07  6.438707539729683100e+07  6.439225646015353500e+07
112 1457 3.732235e-02 3.851644e+01  6.438529418860375900e+07  6.438553829106478400e+07  6.438805556294953100e+07  6.439238564899624900e+07
113 1470 3.774701e-02 3.852299e+01  6.438523734553898900e+07  6.438523734553898900e+07  6.438746479508724800e+07  6.439213946868461400e+07
114 1483 3.821982e-02 3.846483e+01  6.438469799759359700e+07  6.438469799759359700e+07  6.438623633106167600e+07  6.439080705245463600e+07
115 1496 3.911339e-02 3.851980e+01  6.438469799759359700e+07  6.438534253980176200e+07  6.438696345925999400e+07  6.439284400873053100e+07
